쏘나타	1985-1995	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
쏘나타 Y3	1996	-	ID4C	-	
쏘나타 Y3	1997	-	ID4C	-	
쏘나타 Y3/EF	1998	-	ID4C 또는 4D60/ID60	-	카탈로그상 1996-1998과 1998-2004 두 구간이 1998년에 겹침 — 같은 해 안에서도 생산시기에 따라 갈릴 수 있음
쏘나타 EF	1999	-	4D60 / ID60	-	
쏘나타 EF	2000	-	4D60 / ID60	-	
쏘나타 EF	2001	-	4D60 / ID60	-	
쏘나타 EF	2002	-	4D60 / ID60	-	
쏘나타 EF	2003	-	4D60 / ID60	-	
쏘나타 EF/NF	2004	-	4D60 / ID60	-	
쏘나타 NF	2005	PCF7936/PCF7952	ID46	PN 95430-3K200, 95440-3K000	
쏘나타 NF	2006	PCF7936(일반키)	ID46	폴딩키: PN 95430-3K001	국내 현대모비스 확인: [2007.11.7 이전 차량] 95430-3K001
쏘나타 NF	2007	PCF7936(일반키)	ID46	폴딩키: PN 95430-3K001, 95430-3K002	국내 현대모비스 확인 — 같은 해 안에 날짜 기준으로 부품번호가 갈림
쏘나타 NF	2008	PCF7936(일반키)	ID46	폴딩키: PN 95430-3K002, 95430-3K010	국내 현대모비스 확인
쏘나타 NF/YF	2009	PCF7936(일반키)	ID46	국내 부품번호 확인 필요	
쏘나타 YF	2010	PCF7936(일반키) / PCF7952(스마트)	ID46	폴딩키: PN 95430-3S000, 95430-3S300 / 스마트키: PN 95440-3S0004X	국내 현대모비스 확인 — 스마트키 트림은 2010년부터 등장
쏘나타 YF	2011	PCF7936(일반키) / PCF7952(스마트)	ID46	폴딩키: PN 95430-3S300, 95430-3S400 / 스마트키: PN 95440-3S0004X	국내 현대모비스 확인
쏘나타 YF	2012	PCF7936(일반키) / PCF7952(스마트)	ID46	폴딩키: PN 95430-3S400 / 스마트키: PN 95440-3S0004X	국내 현대모비스 확인
쏘나타 YF	2013	PCF7936(일반키) / PCF7952(스마트)	ID46	폴딩키: PN 95430-3S400, 95430-3S401 / 스마트키: PN 95440-3S0004X	국내 현대모비스 확인
쏘나타 YF/LF	2014	PCF7936(일반키) / PCF7952(스마트)	ID46	스마트키: PN 95440-3Q000	
쏘나타 LF	2015	NCF2952X(스마트)	ID6E-MA / ID47	플립키: PN 95430-C1010 / 스마트키: PN 95440-C1001	
쏘나타 LF	2016	NCF2952X(스마트)	ID46 또는 ID47	스마트키: PN 95440-C1001	
쏘나타 LF	2017	NCF2952X(스마트)	ID47	스마트키: PN 95440-C1001	
쏘나타 LF	2018	NCF2952X(스마트)	ID47	스마트키: PN 95440-C1001	
쏘나타 LF/DN8	2019	-	AES 또는 ID4A	스마트키: PN 95440-L1010	
쏘나타 DN8	2020	-	ID4A	스마트키: PN 95440-L1060, 95440-L1500	
쏘나타 DN8	2021	-	ID4A	국내 부품번호 확인 필요	
쏘나타 DN8	2022	-	ID4A	국내 부품번호 확인 필요	
쏘나타 DN8/DN8 PE	2023	-	ID4A	PN 95440-L1010	
쏘나타 DN8 PE	2024	-	ID4A	PN 95440-L5750, 95440-L1760, 95440-L1770	
쏘나타 DN8 PE	2025	-	ID4A	PN 95440-L5750, 95440-L1760, 95440-L1770	
