# 브랜드|모델명|시작|끝  (국내 실제 판매 연식 기준 — 연식별 검색으로 재확인)
현대|쏘나타 (EF, 4세대)|2000|2004
현대|쏘나타 (NF, 5세대)|2004|2009
현대|쏘나타 (YF, 6세대)|2009|2014
현대|쏘나타 (LF, 7세대)|2014|2019
현대|쏘나타 (DN8, 8세대)|2019|2026
현대|그랜저 (XG, 3세대)|2000|2005
현대|그랜저 (TG, 4세대)|2005|2011
현대|그랜저 (HG, 5세대)|2011|2016
현대|그랜저 (IG, 6세대)|2016|2022
현대|그랜저 (GN7, 7세대)|2022|2026
현대|아반떼 (J2, 2세대)|2000|2000
현대|아반떼 (XD, 3세대)|2000|2006
현대|아반떼 (HD, 4세대)|2006|2010
현대|아반떼 (MD, 5세대)|2010|2015
현대|아반떼 (AD, 6세대)|2015|2020
현대|아반떼 (CN7, 7세대)|2020|2026
현대|아반떼 N (CN7)|2021|2026
현대|베르나 (LC, 1세대)|2000|2005
현대|베르나 (MC, 2세대)|2005|2010
현대|엑센트 (RB, 4세대)|2010|2019
현대|i30 (FD, 1세대)|2007|2011
현대|i30 (GD, 2세대)|2011|2016
현대|i30 (PD, 3세대)|2016|2020
현대|i40 (VF)|2011|2019
현대|벨로스터 (FS, 1세대)|2011|2017
현대|벨로스터 (JS, 2세대)|2018|2022
현대|아슬란 (AG)|2014|2017
현대|제네시스 (BH, 1세대)|2008|2013
현대|제네시스 (DH, 2세대)|2013|2016
현대|제네시스 쿠페 (BK)|2008|2016
현대|아이오닉 (AE)|2016|2022
현대|아이오닉 5 (NE)|2021|2026
현대|아이오닉 5 N (NE)|2023|2026
현대|아이오닉 6 (CE)|2022|2026
현대|아이오닉 9 (ME)|2025|2026
현대|싼타페 (SM, 1세대)|2000|2005
현대|싼타페 (CM, 2세대)|2005|2012
현대|싼타페 (DM, 3세대)|2012|2018
현대|싼타페 (TM, 4세대)|2018|2023
현대|싼타페 (MX5, 5세대)|2023|2026
현대|팰리세이드 (LX2, 1세대)|2018|2024
현대|팰리세이드 (LX3, 2세대)|2025|2026
현대|투싼 (JM, 1세대)|2004|2009
현대|투싼ix (LM, 2세대)|2009|2015
현대|투싼 (TL, 3세대)|2015|2020
현대|투싼 (NX4, 4세대)|2020|2026
현대|베라크루즈 (EN)|2006|2015
현대|맥스크루즈 (NC)|2013|2019
현대|코나 (OS, 1세대)|2017|2023
현대|코나 N (OS)|2021|2023
현대|코나 (SX2, 2세대)|2023|2026
현대|코나 일렉트릭 (SX2)|2023|2026
현대|베뉴 (QX)|2019|2026
현대|캐스퍼 (AX1)|2021|2026
현대|캐스퍼 일렉트릭 (AX1 EV)|2024|2026
현대|넥쏘 (FE, 1세대)|2018|2025
현대|넥쏘 (NH2, 2세대)|2025|2026
현대|스타렉스 (A1)|2000|2007
현대|그랜드 스타렉스 (TQ)|2007|2021
현대|스타리아 (US4)|2021|2026
현대|포터2 (HR)|2004|2026
현대|포터2 일렉트릭|2019|2026
제네시스|제네시스 G80 (DH)|2016|2020
제네시스|제네시스 G80 (RG3)|2020|2026
제네시스|제네시스 일렉트리파이드 G80 (RG3 EV)|2021|2026
제네시스|제네시스 EQ900/G90 (HI)|2015|2022
제네시스|제네시스 G90 (RS4)|2022|2026
제네시스|제네시스 G70 (IK)|2017|2026
제네시스|제네시스 GV80 (JX1)|2020|2026
제네시스|제네시스 GV80 쿠페 (JX1)|2024|2026
제네시스|제네시스 GV70 (JK1)|2020|2026
제네시스|제네시스 일렉트리파이드 GV70 (JK1 EV)|2022|2026
제네시스|제네시스 GV60 (JW1)|2021|2026
